Title,Url,Description
3D,https://github.com/topics,"3D refers to the use of three-dimensional graphics, modeling, and animation in various industries."
Ajax,https://github.com/topics,Ajax is a technique for creating interactive web applications.
Algorithm,https://github.com/topics,Algorithms are self-contained sequences that carry out a variety of tasks.
Amp,https://github.com/topics,Amp is a non-blocking concurrency library for PHP.
Android,https://github.com/topics,Android is an operating system built by Google designed for mobile devices.
Angular,https://github.com/topics,Angular is an open source web application platform.
Ansible,https://github.com/topics,Ansible is a simple and powerful automation engine.
API,https://github.com/topics,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
Arduino,https://github.com/topics,Arduino is an open source platform for building electronic devices.
ASP.NET,https://github.com/topics,ASP.NET is a web framework for building modern web apps and services.
Atom,https://github.com/topics,Atom is a open source text editor built with web technologies.
Awesome Lists,https://github.com/topics,An awesome list is a list of awesome things curated by the community.
Amazon Web Services,https://github.com/topics,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
Azure,https://github.com/topics,Azure is a cloud computing service created by Microsoft.
Babel,https://github.com/topics,"Babel is a compiler for writing next generation JavaScript, today."
Bash,https://github.com/topics,Bash is a shell and command language interpreter for the GNU operating system.
Bitcoin,https://github.com/topics,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
Bootstrap,https://github.com/topics,"Bootstrap is an HTML, CSS, and JavaScript framework."
Bot,https://github.com/topics,A bot is an application that runs automated tasks over the Internet.
C,https://github.com/topics,C is a general purpose programming language that first appeared in 1972.
Chrome,https://github.com/topics,Chrome is a web browser from the tech company Google.
Chrome extension,https://github.com/topics,Chrome extensions enable users to customize the Chrome browsing experience.
Command line interface,https://github.com/topics,"A CLI, or command-line interface, is a console that helps users issue commands to a program."
Clojure,https://github.com/topics,"Clojure is a dynamic, general-purpose programming language."
Code quality,https://github.com/topics,"Automate your code review with style, quality, security, and test‑coverage checks when you need them."
Code review,https://github.com/topics,Ensure your code meets quality standards and ship with confidence.
Compiler,https://github.com/topics,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
Continuous integration,https://github.com/topics,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production."
COVID-19,https://github.com/topics,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.
C++,https://github.com/topics,C++ is a general purpose and object-oriented programming language.
